BRGE6,Consórcio Alfa,300,10,00,-1,86%
CGAS3,Comgás,200,118,02,-4,05%
JOPA3,Josapar,100,21,00,+0,00%
BRKM6,Braskem,100,18,51,-6,33%
AHEB6,São Paulo Turismo,100,17,01,-8,05%
AHEB5,São Paulo Turismo,100,16,51,+0,12%
BRSR5,Banrisul,200,19,02,+11,82%
MTSA3,METISA,100,77,00,+2,67%
TKNO4,Tekno,100,64,98,-0,02%
HBTS5,Habitasul,100,52,51,+9,40%
DTCY3,Dtcom,1.000,5,00,-5,66%
CSRN3,COSERN,400,27,20,+0,74%
GEPA3,Rio Paranapanema Energia,400,26,52,-3,56%
LIPR3,Eletropar,100,73,00,-0,27%
CLSC3,Celesc,500,60,10,+5,44%
WLMM3,WLM,200,20,00,+0,00%
BMIN3,Banco Mercantil de Investimentos,200,18,50,+0,00%
ELET5,Eletrobras,100,86,01,+0,01%
FRIO3,Metalfrio,100,50,52,+0,04%
GSHP3,General Shopping & Outlets,100,15,05,-0,33%
BSLI3,Banco de Brasília,200,14,87,+5,01%
DOHL3,Döhler,100,10,00,+0,00%
EQPA7,Equatorial Energia Pará,100,7,00,-0,14%
FESA3,Ferbasa,300,58,44,-1,20%
NORD3,Nordon,100,5,70,-1,89%
CEED3,CEEE D,900,29,53,+9,41%
CRPG3,Tronox Pigmentos,400,45,00,+3,45%
BDLL3,Bardella,100,12,20,+2,87%
BOAS3,Boa Vista,23.239.000,7,95,-0,38%
LUXM4,Trevisa,100,18,93,-0,05%
MAPT4,Cemepe,300,11,00,+61,29%
SOND5,Sondotécnica,200,50,00,+25,00%
AHEB3,São Paulo Turismo,100,22,09,+0,00%
SOND6,Sondotécnica,100,40,56,+0,02%
PATI4,Panatlântica,200,33,00,+0,00%
CSRN6,COSERN,200,27,60,-4,83%
CEEB5,COELBA,100,54,60,+9,20%
PEAB4,Participações Aliança da Bahia,2.600,74,00,+2,78%
CSRN5,COSERN,400,29,50,+13,55%
CSAB4,Cia. de Seg. Aliança da Bahia,600,47,50,+8,30%
CSAB3,Cia. de Seg. Aliança da Bahia,100,35,01,+16,43%
EQPA5,Equatorial Energia Pará,400,8,40,-2,78%
BRGE5,Consórcio Alfa,500,11,30,-1,99%
EQPA6,Equatorial Energia Pará,200,10,05,-5,99%
COCE3,Coelce,200,50,01,+2,86%
CBEE3,Ampla Energia,100,13,70,+3,24%
JOPA4,Josapar,100,33,80,-1,20%
GPAR3,CELGPAR,400,44,51,+6,18%
USIM6,Usiminas,800,16,35,+0,31%
MODL3,Banco Modal,16.688.000,3,08,+0,33%
CTKA3,Karsten,300,18,00,+4,71%
MERC3,Mercantil do Brasil Financeira,51.500,15,28,+1,13%
DMFN3,DMFN3,100,12,60,+6,15%
CEGR3,Naturgy (CEG),100,85,00,-4,49%
MAPT3,Cemepe,300,30,05,+0,00%
CRDE3,CR2,400,16,00,+0,00%
ESTR3,Estrela,100,19,95,-1,34%
IGBR3,IGB Eletrônica,700,175,99,+1,14%
BRGE11,Consórcio Alfa,100,9,99,+2,04%
MSPA4,Melhoramentos,100,40,00,+0,00%
MRSA6B,MRS Logística,200,22,00,-4,60%
